Title,Input,Device Type,Input Specs,Local user,Remote user,UI/UX,Visual,Haptic,Auditory,Remarks,Collab Style,Video,Publication,Year,Month,Citation,Thumb
ShowMe: A remote collaboration system that supports immersive gestural communication,Video,HHD,,,,UI/UX,,,,,,,CHI,2015,Apr,42,0
Mini-me: An adaptive avatar for Mixed Reality remote collaboration,3D Scene,HMD,,,,UI/UX,,,,,,https://www.youtube.com/watch?v=YrdCg8zz57E,CHI,2018,Apr,78,0
A hand-based collaboration framework in egocentric coexistence reality,,,,,,,,,,,,,URAI,2015,Oct,6,
Chili: Viewpoint Control and On-Video Drawing for Mobile Video Calls,Video,HHD,Mobile video,Mobile/Tablet,Mobile/Tablet,UI/UX,both users can draw or point on the video,,viewpoint control mode visualize as red rectangle,,,,CHI,2013,Apr,21,0
Development and Usability Testing of a Panoramic Augmented Reality Environment for Fall Hazard Safety Training,,,,,,,,,,,,,CIB W78,2019,Jun,15,
Egocentric Smaller-person Experience through a Change in Visual Perspective,,,,,,,,,,,,,CHI,2019,May,4,
bioSync: A Paired Wearable Device for Blending Kinesthetic Experience,,,,,,,,,,,,,CHI,2017,May,25,
My Tai-Chi coaches: An augmented-learning tool for practicing Tai-Chi Chuan,,,,,,,,,,,,,AH,2017,Mar,23,
Revisiting collaboration through mixed reality: The evolution of groupware,,,,,,,,,,,,,IJHCS,2019,Nov,19,
Parallel Eyes: Exploring human capability and behaviors with paralleled first person view sharing,Video,HMD,Mobile video,Google Cardboard,Google Cardboard,Awareness + UI/UX,,,,,,,CHI,2016,May,39,1
Mobileportation: Nomadic Telepresence for Mobile Devices,Panorama Video,HHD,Lenovo Phab 2 Phone (equipped with Google Tango) and 360 camera,Mobile Camera,Mobile Camera,Visual + Auditory,,,,,,,IMWUT,2020,Jun,0,0
Snow dome: A multi-scale interaction in mixed reality remote collaboration,Point Clouds,HHD,,,,UI/UX,,,,,,,CHI,2018,Apr,6,0
VirtualHaus: A collaborative mixed reality application with tangible interface,3D Scene,HMD,,,,,,,,,2→0,,VRST,2018,Nov,0,
Effect of body representation level of an avatar on quality of AR-based remote instruction,,,,,,,,,,,,,MTI,2020,Mar,2,
A User Study on Mixed Reality Remote Collaboration with Eye Gaze and Hand Gesture Sharing,,,,,,,,,,,,,CHI,2020,Apr,2,
A Literature Review on Collaboration in Mixed Reality,,,,,,,,,,,,,REV,2018,Mar,6,
Social telepresence robots - the role of gesture for collaboration over a distance,,,,,,,,,,,,,PETRA,2018,Jun,1,
Head and gaze control of a telepresence robot with an HMD,,,,,,,,,,,,,ETRA,2018,Jun,10,
Think Fast: Rapid Localization of Teleoperator Gaze in 360 Hosted Telepresence,,,,,,,,,,,,,IJHR,2020,Jun,0,
Live Stereoscopic 3D Image with Constant Capture Direction of 360 Cameras for High-Quality Visual Telepresence,,,,,,,,,,,,,IEEE VR,2019,Mar,2,
Realtime 3D 360-Degree Telepresence with Deep-Learning-Based Head-Motion Prediction,,,,,,,,,,,,,JETCAS,2019,Feb,5,
ScalableBody: A telepresence robot that supports face position matching using a vertical actuator,,,,,,,,,,,,,AH,2017,Mar,14,
Can You Easily Perceive the Local Environment? A User Interface with One Stitched Live Video for Mobile Robotic Telepresence Systems,,,,,,,,,,,,,IJHCI,2020,May,0,
Human-guided robot 3D mapping using virtual reality technology,,,,,,,,,,,,,IROS,2016,Oct,8,
Superman vs giant: A study on spatial perception for a multi-scale mixed reality flying telepresence interface,3D Scene,HMD,,,,,,,,,,https://www.youtube.com/watch?v=jusLbwjWVcI,TVCG,2018,Sep,13,
A Lightweight Mobile Remote Collaboration Using Mixed Reality (MRCAVR),Video,HMD,,Mobile Camera,Google Cardboard,,,,,Uses mobile AR scanner(6D.ai),,https://www.youtube.com/watch?v=YjfDq0jy56M,CVPR,2019,Jun,1,
Wearable remotefusion: A mixed reality remote collaboration system with local eye gaze and remote hand gesture sharing,Point Clouds,HHD,Point clouds,AR,VR,Awareness,,Natural Hand Gesture,View Frustum + Eye Gaze,VR+LEAP Point clouds + color stitch together,,,ISMAR,2019,Oct,0,0
Experimental evaluation of sketching on surfaces in VR,,,,,,,,,,,,,CHI,2017,May,63,
MagicalHands: Mid-air hand gestures for animating in VR,,,,,,,,,,,,,UIST,2019,Oct,6,
Cross-domain retrieving sketch and shape using cycle CNNs,,,,,,,,,,,,,CGI,2020,May,1,
Model-Guided 3D Sketching,,,,,,,,,,,,,TVCG,2018,Jul,5,
VROOM: Virtual Robot Overlay for Online Meetings,360 Video,HMD,remote user wears a Windows Mixed Reality headset displaying the 360° view from the perspective of the robot in the local space. The user also holds a Windows Mixed Reality controller in each of their hands. They use the thumbstick to control the driving direction of the robot. local space a Microsoft HoloLens AR headset running a Unity application that we built. This application tracks the robot and overlays the avatar onto it. avatars head is made from a front-facing photo of the user using the Avatar Maker Pro Unity library and attached to an animated humanbody model available as a standard asset in Unity. The robot we use is a BeamPro telepresence robot. On this robot we attached a RICOH Theta V 360° camera connected to a small laptop attached to the base of the robot.,,,,,,,,,https://www.youtube.com/watch?v=9ZZ-YdUU01w,CHI,2020,Apr,3,
Adaptive view management for drone teleoperation in complex 3D structures,,,,,,,,,,,,,IUI,2017,Mar,14,
Panoramic View Reconstruction for Stereoscopic Teleoperation of a Humanoid Robot,,,,,,,,,,,,,IEEE RAS,2016,Nov,9,
VR-Enabled Telepresence as a Bridge for People Environments and Experiences,,,,,,,,,,,,,CHI,2020,Apr,0,
The effects of sharing awareness cues in collaborative mixed reality,,,,,,,,,,,,,Front Robot AI,2019,Feb,20,
Evaluating the Combination of Visual Communication Cues for HMD-based Mixed Reality Remote Collaboration,,,,,,,,,,,,https://www.youtube.com/watch?v=LIjeydfGU9I,CHI,2019,May,19,
Collaboration in 360 videochat: Challenges and opportunities,360 Video,HMD,The 360° camera atop a monopod affixed to a backpack streams 360° video to a tablet,,,,,,,,,,DIS,2017,Apr,43,
Stream space: Pervasive mixed reality telepresence for remote collaboration on mobile devices,Video,HHD,Mobile video,Mobile Camera,Mobile Camera,Awareness,,,,,,https://www.youtube.com/watch?v=TAnXAmYVzLU,JIP,2018,Nov,11,1
Merging live and static 360 panoramas inside a 3d scene for mixed reality remote collaboration,360 Video,HMD,local user wearing an AR HMD with a 360 camera on the top for sharing of 360 static and live panoramas to a remote user. A pre-captured 3D scene was integrated into the system along with the 360 panoramas. The remote user usage VR HMD. The remote user can also use VR controllers to provide instructional visual cues and exchange nonverbal communication with the local user.,,,,,,,,,,ISMAR,2019,Oct,0,
Investigating the use of different visual cues to improve social presence within a 360 mixed reality remote collaboration,,,,,,,,,,,,,VACAI,2019,Nov,1,
OmniGlobeVR: A Collaborative 360 Communication System for VR,360 Video,SAR,VR HMD(HTC Vive); a spherical display (Glomal350) with a 360° camera (RicohThetaV) mounted on the top,,,,,,,,,,CHI,2020,Apr,1,
A technique for mixed reality remote collaboration using 360 panoramas in 3D reconstructed scenes,360 Video,HMD,remote user on PC side wears a HTC Vive HMD (VR HMD); local user has a RICOH Theta V mounted on the AR HMD; Vive lighthouse tracker,,,,,,,,,https://www.youtube.com/watch?v=8nkJmvBmYP0,VRST,2019,Nov,1,
360Drops: Mixed reality remote collaboration using 360 panoramas within the 3D scene,360 Video,HMD,AR HMD (Microsoft HoloLens) with a 360 Camera (RICOH Theta V) mounted on top; remote user wears a VR HMD (HTC Vive),AR,VR,Awareness,,Natural Hand Gesture + Ray pointer + Audio,,presence,,,SIGGRAPH,2019,Nov,0,0
Holoportation: Virtual 3D teleportation in real-time,Point Clouds,HMD,to capture 360° of the scene N= 8 camera pods placed on the periphery of the room. Each pod consists of 2 Near Infra-Red cameras (NIR) and a color camera mounted on top of an optical bench. We also mount NIR filters on top of each NIR camera to filterout the visible light spectrum.  Each trinocular pod generatesa color-aligned RGB and depth stream using a state-of-the-art stereo matching technique. In total camera rig uses 244MP resolution Grasshopper PointGrey cameras.,,,,,,,,1→n,https://www.youtube.com/watch?v=7d59O6cfaM0,UIST,2016,Oct,279,
The new era of virtual reality locomotion: A systematic literature review of techniques and a proposed typology,,,,,,,,,,,,,MTI,2017,Dec,114,
Breaking The Experience: Effects of Questionnaires in VR User Studies,3D Scene,HMD,Vive controller; Vive Pro HMD; Biosensors(skin conductance sensor (ring+little finger)) respiration sensor; mind media NeXus 10,,,,,,,,,https://www.youtube.com/watch?v=iFYemY385UQ,CHI,2020,Apr,5,
SourceVis: Collaborative Software Visualization in Co-located Environments,3D Scene,PC,Multitouch Tables,,,,,,,,,,VISSOFT,2013,Sep,42,
Multi-touch Table User Interfaces for Collaborative Visual Software Analytics,3D Scene,PC,Rear DI multi-touch table; large visualization wall; Multi-touch Polymetric Views,,,,,,,,,,ITS,2010,Jun,3,
CoVAR: A collaborative virtual and augmented reality system for remote collaboration,3D Scene,HMD,AR user Microsoft HoloLens HMD and for the VR display the HTC Vive HMD; the two machines are connected by an Ethernet with TCP/IP connection and Unity Networking isused for data synchronization,AR,VR,Awareness + UI/UX,,hand gestures + head gaze + Eye gaze input,FoV. Showing the boundary of what the users can see through their display. Gaze cue. Represented by a ray showing the user‘s eye-gaze direction,presence + VR/AR + Leap + Pupil Labs,,,SIGGRAPH,2017,Nov,38,0
Eyemotion: Classifying facial expressions in VR using eye-tracking cameras,,,,,,,,,,,,,WACV,2019,Jan,44,
PanoVC: Pervasive Telepresence using Mobile Phones,Panorama Image,HHD,Panorama image and video,Mobile Camera,Mobile Camera,Awareness,,,,,,,PerCom,2016,Mar,23,0
TwinSpace: an Infrastructure for Cross-Reality Team Spaces,3D Scene,SAR,,,,,,,,,,,UIST,2010,Oct,29,
SecSpace: Prototyping usable privacy and security for mixed reality collaborative environments,3D Scene,SAR,,,,,,,,,,,CHI,2014,Jun,12,
With a little help from a holographic friend: The OpenIMPRESS mixed reality telepresence toolkit for remote collaboration systems,Point Clouds,HMD,Depth Camera with AR Marker; Depth Camera Streamer; High-res point cloud and Low-res Spatial mesh; Hololens for on-site user and VR set + Leap motion for Remote user,,,,,,,,,,VRST,2018,Nov,13,
Social Panoramas: Using Wearable Computers to Share Experiences,Panorama Image,HMD,Google Glass,Google Glass,Mobile/Tablet,Awareness,,both users can draw or point on the shared panorama.,users PoV shown as a top down view on a radar display.,decision making,,,SIGGRAPH,2014,Nov,12,1
Real-time visual representations for mobile mixed reality remote collaboration,Point Clouds,HMD + HHD,mobile phone attached with depth sensor; VR HMD for remote expert,,,,,,,,,,SIGGRAPH,2018,Dec,6,
An MR remote collaborative platform based on 3d cad models for training in industry,3D Scene,SAR,remote HTC HMD and the local SAR site,,,,,,,,,,ISMAR,2019,Oct,2,
The virtual chocolate factory: Building a real world mixed-reality system for industrial collaboration and control,3D Scene,HMD,,,,,,,,,,,ICME,2010,Jul,31,
Remote mixed reality collaborative laboratory activities: Learning activities within the InterReality portal,3D Scene,SAR,real env: formed by semi-spherical sectioned screen and user does not need special glasses. virtual learning env: java-based open source toolkit for creating collaborative 3D virtual worlds. xRealtiy Obj and Virtual Obj: Fortito Buzz-Board Educational Toolkits which is 30 pluggable network-aware hardware boards,,,,,,,,,,WI-IAT,2012,Dec,31,
Effect of full body avatar in augmented reality remote collaboration,Video,HMD,HTC VIVE. through the HMD user could see real-world scene captured by stero camera (ovrVision) and see an avatar standing,,,,,,,,,,IEEE VR,2019,Mar,1,
Face-to-face tabletop remote collaboration in mixed reality,Video,HMD,multi-marker method of the ARToolkit; see through HMD ,,,,,,,,,,ISMAR,2007,Nov,25,
Mixed Reality Light Fields for Interactive Remote Assistance,Image,HHD,Capture multiple images,Mobile Camera,Mobile Camera,Awareness,,,,,,,CHI,2020,Apr,1,
Exploring enhancements for remote mixed reality collaboration,3D Scene,HMD,AR and AV sides use Pupil Labs system for eye tracking and Leap Motion system for hand pose recognition. AR side: Microsoft HoloLens which is connected to a computer through Holographic Remoting Player via WIFI. AV side: HTC Vive with SteamVR platform runs on a second computer,,,,,,,,,,SIGGRAPH ,2017,Nov,48,
Supporting visual annotation cues in a live 360 panorama-based mixed reality remote collaboration,360 Video,HMD,HMD,,,,,,,,,,IEEE VR,2019,Mar,0,
3D AutoSysLab Prototype - A Social Immersive and Mixed Reality Approach for Collaborative Learning Environments,,,,,,,,,,,,,IJEP,2012,Apr,14,
Collaborative mixed reality exposure therapy,,,,,,,,,,,,,CW,2006,Nov,13,
The effect of avatar realism in immersive social virtual realities,,,,,,,,,,,,,VRST,2017,Nov,74,
An HMD-based Mixed Reality System for Avatar-Mediated Remote Collaboration with Bare-hand Interaction,Video,HMD,HSKL Intel hand skeletal tracking lib. LeapMotion V2 skeletal tracking API for SenZ3D and LeapMotion Sensor. Kinect for Windows SDK and RUIS toolkit for Avatar related body tracking,,,,,,,,,https://www.youtube.com/watch?v=-oY_o79bi-s,ICAT-EGVE,2015,Oct,8,
Remote collaboration with Mixed Reality displays: How shared virtual landmarks facilitate spatial referencing,Video,HHD,,,,,,,,,,,CHI,2017,May,27,
Mixed reality collaboration through sharing a live panorama,,,,,,,,,,,,,SIGGRAPH,2017,Nov,25,
3D helping hands: A gesture based MR system for remote collaboration,,,,,,,,,,,,,SIGGRAPH ,2012,Dec,86,
From ethnographic study to mixed reality : A remote collaborative troubleshooting system,,,,,,,,,,,,,CSCW ,2011,Mar,27,
Static local environment capturing and sharing for MR remote collaboration,,,,,,,,,,,,,SIGGRAPH ,2017,Nov,8,
Tag it!: AR annotation using wearable sensors,Video,HMD,Google Glass on Head and a Tango device on Chest,,,,,,,,,,SIGGRAPH,2015,Nov,24,
Facial performance sensing head-mounted display,,,,,,,,,,,,,TOG,2015,Jul,133,
High-fidelity facial and speech animation for VR HMDs,,,,,,,,,,,,,TOG,2016,Nov,80,
Adventures in hologram space: Exploring the design space of eye-to-eye volumetric telepresence,,,,,,,,,,,,,VRST,2019,Nov,2,
RemoteFusion: Real time depth camera fusion for remote collaboration on physical tasks,,,,,,,,,,,,,SIGGRAPH,2013,Nov,37,
Simulation-based education: A narrative review of the use of VERT in radiation therapy education,,,,,,,,,,,,,JMRS,2018,Jun,14,
Virtual Reality for Simulation of Radiation Therapy,,,,,,,,,,,,,SO,2011,Mar,0,
Mixed reality remote collaboration combining 360 video and 3D reconstruction,,,,,,,,,,,,,CHI,2019,May,21,
Investigating the use of different visual cues to improve social presence within a 360 mixed reality remote collaboration,,,,,,,,,,,,,VRCAI,2019,Nov,1,
Virtual reality and music therapy as distraction interventions to alleviate anxiety and improve mood states in breast cancer patients during chemotherapy,,,,,,,,,,,,,JCP,2020,Jan,4,
The development of a VR-based treatment planning system for oncology,,,,,,,,,,,,,IEEE EMBS,2006,Jan,6,
Simulating obstetric forceps delivery in an augmented environment,,,,,,,,,,,,,AMI ARCS,2004,Sep,14,
LINACVR: VR Simulation for Radiation Therapy Education,3D Scene,HMD,HTC Vive,,,,,,,,,,VRST,2019,Nov,1,
Extended reality for chronic pain relief,,,,,,,,,,,,,VRST,2019,Nov,0,
User evaluation of polymetric views using a large visualization wall,,,,,,,,,,,,,VISSOFT,2010,Oct,32,
Beyond Halo and Wedge : Visualizing Out-of-View Objects on Head-mounted Virtual and Augmented Reality Devices,,,,,,,,,,,,,MobileHCI,2018,Sep,20,
HPC enabled immersive and non-immersive visualization of large scale scientific data,,,,,,,,,,,,,DTIS,2019,May,1,
Design space for spatio-data coordination: Tangible interaction devices for immersive information visualisation,,,,,,,,,,,,,PacificVis,2017,Apr,33,
DebugAr: Mixed dimensional displays for immersive debugging of distributed systems,,,,,,,,,,,,,CHI,2018,Apr,8,
The use of surrounding visual context in handheld AR: Device vs. user perspective rendering,,,,,,,,,,,,,CHI,2014,Apr,31,
Augmented Virtual Teleportation for High-Fidelity Telecollaboration (AVT),360 Video,HMD,360 video,VR,VR,Awareness,,,,,,https://www.youtube.com/watch?v=_6yiSnEa5vM,TVCG,2020,Feb,1,1
JackIn Head: Immersive Visual Telepresence System with Omnidirectional Wearable Camera,360 Video,HHD,360 video,Custom HMD,VR,Awareness,,,,,,https://www.youtube.com/watch?v=U9i7taUXtdg,TVCG,2016,Dec,37,0
Vishnu: Virtual immersive support for Helping users an interaction paradigm for collaborative remote guiding in mixed reality,Image,HHD,,,,UI/UX,,,,,,,3DCVE,2016,Mar,32,0
Context-of-Interest Driven Trans-Space Convergence for Spatial Co-presence,Point Clouds,HMD,,,,,,,,,,,DAPI,2013,Jul,2,
Sharedsphere: MR collaboration through shared live panorama,360 Video,HHD,360 video + panorama video,AR,VR,Awareness,,Natural Hand Gesture,users viewframe visualised as coloured rectangle,360 camera mounted on AR,,https://www.youtube.com/watch?v=FFF6qP5Ap44,SIGGRAPH,2017,Nov,17,0
Real-time Visual Representations for Mixed Reality Remote Collaboration,Point Clouds,HHD,Point clouds,VR,VR,Awareness,,,,Wide Angle camera attached with VR (Produce seethrough AR) + short range Depth sensor to update nearby point clouds,,, ICAT-EGVE,2017,Dec,7,0
An oriented point-cloud view for MR remote collaboration,Point Clouds,HHD,Point clouds,VR,VR,Awareness + UI/UX,,,,Both VR equipped with kinect cameras and both point cloud stitched together before transmit,,,SIGGRAPH,2016,Nov,19,0
Static local environment capturing and sharing for MR remote collaboration,Image,HHD,,VR,VR,Awareness,,,,Both VR equipped with kinect cameras and both point cloud stitched together before transmit,,,SIGGRAPH,2017,Nov,8,0
The Effect of Collaboration Styles and View Independence on Video-Mediated Remote Collab,Panorama Image,HHD,,,,Awareness + UI/UX,,,,emotion,,,CSCW,2018,Dec,24,0
Dollhouse VR: A Multi-view Multi-user Collaborative Design Workspace with VR Technology,3D Scene,HMD,A HMD (Oculus lift DK2) and a large interactive tabletop display (Iiyama ProLite T2735MSC) are connected to the laptop computer which shows the immersive view to the HMD and the top-down view to the tabletop display,,,UI/UX,,,,haptic,n→1,,SIGGRAPH,2015,Nov,71,0
Augmented reality system based on hand gestures for remote maintenance,Video,SAR,,,,UI/UX,,,,,,,ICMCS,2014,Apr,13,0
HandsInTouch: Sharing Gestures in Remote Collaboration,Panorama Video,HHD,,,,UI/UX,,,,,,,OzCHI,2018,Dec,4,0
Hybrid team interaction in the mixed reality continuum,,HHD,,,,Awareness + UI/UX,,,,,,,VRST,2016,Nov,3,0
Webizing Collaborative Interaction Space for Cross Reality with Various Human Interface Device,Point Clouds,HHD,,,,UI/UX,,,,,,,Web3D,2018,Jun,2,0
Immersive Tangible Geospatial Modeling,Point Clouds,HHD,,,,UI/UX,,,,,,,SIGSPATIAL,2016,Oct,18,0
Development of collaborative workspace system using hand gesture.,Point Clouds,HHD,,,,UI/UX,,,,,,,GCCE,2016,Oct,1,0
Collaborative Magic Lens Graph Exploration,Video,HHD,,,,UI/UX,,,,,,,SIGGRAPH,2015,Nov,6,0
Empowerment and Embodiment for Collaborative MR System,360 Video,HHD,,,,Awareness + UI/UX,,,,,,,CAVW,2018,May,6,0
Remote MR system supporting interactions with virtualized objects,Image,HHD,,,,UI/UX,,,,,,,ISMAR,2015,Sep,7,0
